siRNA Candidate Prediction Summary Report
========================================

Summary Table (Max Predicted Efficiency per Gene):
   Gene  Max Predicted Efficiency
  100A1                  0.865461
  1ORF8                  0.896613
 ACNA1C                  0.891248
   AF12                  0.871825
    AG3                  0.881155
   ALM1                  0.887533
ARCOSIN                  0.845654
   ARD9                  0.868975
    AVS                  0.857277
      B                  0.882367
    BK1                  0.887417
   BM20                  0.894808
   CN5A                  0.885220
   CTA1                  0.882994
   CTC1                  0.869567
   CTN2                  0.863027
   DAC1                  0.879856
   DR81                  0.863402
 DUFB10                  0.884021
  DUFS1                  0.865357
  EF1A1                  0.895787
ERPINE1                  0.874840
ERPINF1                  0.859261
     ES                  0.871618
   FIH1                  0.873427
    GF2                  0.857376
   GFB2                  0.862176
     GN                  0.874371
    HL1                  0.903295
    HL2                  0.867330
    HL3                  0.868734
   IMP1                  0.898319
   IPK2                  0.852315
    KP2                  0.875531
    KT1                  0.872692
 LC25A3                  0.879943
   LC2B                  0.860179
   LC2a                  0.860179
  LC9A1                  0.875428
    LCB                  0.916364
   LCN7                  0.905196
 LIMMER                  0.896738
     LN                  0.860433
    MNA                  0.872552
    MOD                  0.862250
    MP9                  0.851260
   MPD2                  0.861457
   NAI1                  0.866718
   NAI2                  0.852159
   NAI3                  0.863455
   NAS1                  0.869957
    NB1                  0.850859
   NG12                  0.863037
   NG13                  0.855981
    NG2                  0.863202
   NGT1                  0.874287
    NKL                  0.865932
  NKRD1                  0.852567
   NNI3                  0.901753
   NNT2                  0.861664
   NPTG                  0.883611
  NRPDL                  0.892303
    OD1                  0.870478
    OD2                  0.870615
 OL14A1                  0.884141
  OL1A1                  0.856088
  OL1A2                  0.894658
  OL3A1                  0.877232
  OL4A1                  0.859424
  OL5A1                  0.868363
  OL6A1                  0.886282
   PL24                  0.866108
   PL31                  0.905104
    PM1                  0.870453
    PPA                  0.873696
    PPB                  0.856214
    PPC                  0.919500
   PS4X                  0.863144
  QCRC1                  0.858925
    RAP                  0.879516
    SG2                  0.893757
     SP                  0.864148
   SPA8                  0.878810
    SPN                  0.876227
   SRP3                  0.864577
 TG16L1                  0.884445
    TG5                  0.859304
     TN                  0.872464
  TRNR1                  0.857517
     UM                  0.873211
     WF                  0.862410
  YBPC3                  0.869081
    YH6                  0.872898
    YH7                  0.887451
    YL3                  0.854889
    YL7                  0.846470
    YR2                  0.862347
   YRL2                  0.868054

Metrics:
Best validation metric: 0.0029367846436798573
